,sku_id,sku_name,date,units_sold
431,SKU0013,BrandA Water,2023-04-02,761
432,SKU0013,BrandA Water,2023-04-09,902
433,SKU0013,BrandA Water,2023-04-16,880
434,SKU0013,BrandA Water,2023-04-23,642
435,SKU0013,BrandA Water,2023-04-30,704
436,SKU0013,BrandA Water,2023-05-07,570
437,SKU0013,BrandA Water,2023-05-14,881
438,SKU0013,BrandA Water,2023-05-21,628
439,SKU0013,BrandA Water,2023-05-28,763
440,SKU0013,BrandA Water,2023-06-04,759
441,SKU0013,BrandA Water,2023-06-11,885
442,SKU0013,BrandA Water,2023-06-18,1478
443,SKU0013,BrandA Water,2023-06-25,1053
444,SKU0013,BrandA Water,2023-07-02,1095
445,SKU0013,BrandA Water,2023-07-09,1071
446,SKU0013,BrandA Water,2023-07-16,1025
447,SKU0013,BrandA Water,2023-07-23,1103
448,SKU0013,BrandA Water,2023-07-30,1390
449,SKU0013,BrandA Water,2023-08-06,1108
450,SKU0013,BrandA Water,2023-08-13,1320
451,SKU0013,BrandA Water,2023-08-20,1098
452,SKU0013,BrandA Water,2023-08-27,1127
453,SKU0013,BrandA Water,2023-09-03,964
454,SKU0013,BrandA Water,2023-09-10,929
455,SKU0013,BrandA Water,2023-09-17,897
456,SKU0013,BrandA Water,2023-09-24,677
457,SKU0013,BrandA Water,2023-10-01,891
458,SKU0013,BrandA Water,2023-10-08,944
459,SKU0013,BrandA Water,2023-10-15,962
460,SKU0013,BrandA Water,2023-10-22,783
461,SKU0013,BrandA Water,2023-10-29,826
462,SKU0013,BrandA Water,2023-11-05,914
463,SKU0013,BrandA Water,2023-11-12,1166
464,SKU0013,BrandA Water,2023-11-19,1054
465,SKU0013,BrandA Water,2023-11-26,528
466,SKU0013,BrandA Water,2023-12-03,646
467,SKU0013,BrandA Water,2023-12-10,913
468,SKU0013,BrandA Water,2023-12-17,771
469,SKU0013,BrandA Water,2023-12-24,874
470,SKU0013,BrandA Water,2023-12-31,703
